title,link,requirements
Middle/Senior Data Scientist IRC245364,https://www.globallogic.com/careers/middle-senior-data-scientist-irc245364/,1-3 years | Ukraine - Lviv Remote
Middle QA Automation Engineer IRC245094,https://www.globallogic.com/careers/middle-qa-automation-engineer-irc245094/,1-3 years | Ukraine - Kyiv Remote
